Name,Type,Tag,Access,AName,FName,HTMLName,DS1,DS2,DS3,MM,Solu,MP,BP,HC,Col1,Alp1,Col2,Alp2,Col3,Alp3,Col4,Alp4,Unk1,Unk2,NameJP,NameZH,NameTW,NameKR,pH1,pH2,pH3,pH4,pH5,Ptn1,BaseState
Ca,Solid,0,1,Calcium,Ca,Ca,1.55,1,0.001,40.08,0,839,1484,4120,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,カルシウム,钙,鈣,칼슘,0,0,0,0,0,2,1
CaC2,Solid,0,1,Calcium carbide,CaC2,CaC2,2.22,2,0.001,64.1,0,2160,2300,700,0xF9ECC9,1,0xF9ECC9,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,炭化カルシウム,碳化钙,碳化鈣,탄화 칼슘,0,0,0,0,0,1,1
CaCl2,Solid,0,1,Calcium chloride,CaCl2,CaCl2,2.15,1,0.001,111,74.5,772,1935,819.94,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化カルシウム,氯化钙,氯化鈣,염화 칼슘,0,0,0,0,0,1,1
CaCO3,Solid,0,1,Calcium carbonate,CaCO3,CaCO3,2.83,1,0.001,100.1,0.000015,825,99999,819.94,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,炭酸カルシウム,碳酸钙,碳酸鈣,탄산 칼슘,0,0,0,0,0,1,1
CaNO32,Solid,0,1,Calcium nitrate,CaNO32,Ca(NO3)2,2.504,1.896,0.001,164.1,121.2,561,99999,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸カルシウム,硝酸钙,硝酸鈣,질산 칼슘,0,0,0,0,0,1,1
CaO,Solid,0,1,Calcium oxide,CaO,CaO,3.35,1,0.001,56.08,0,2572,2850,892.036,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化カルシウム,氧化钙,氧化鈣,산화 칼슘,0,0,0,0,0,1,1
CaOH2,Solid,0,1,Calcium hydroxide,CaOH2,Ca(OH)2,2.211,1,0.001,74.09,0.18,580,99999,87.5,0xE8E8E8,1,0xE8E8E8,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化カルシウム,氢氧化钙,氫氧化鈣,수산화칼슘,0,2,0,0,0,1,1
CaSO3,Solid,0,1,Calcium sulfite,CaSO3,CaSO3,1.595,1,0.001,120.17,0,600,999999,1200,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,亜硫酸カルシウム,亚硫酸钙,亞硫酸鈣,아황산 칼슘,0,0,0,0,0,1,1
CaSO4,Solid,0,1,Calcium sulfate,CaSO4,CaSO4,2.96,1,0.001,136.1,0.21,1460,99999,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸カルシウム,硫酸钙,硫酸鈣,황산 칼슘,0,0,0,0,0,1,1
Co,Solid,0,1,Cobalt,Co,Co,1.9,1,1,80,0,300,140,1000,0xECEDEF,1,0xECEDEF,0.9,0,0,0xECEDEF,1,0.5,0.15,コバルト,钴,鈷,코발트,0,0,0,0,0,2,1
Cr,Solid,0,1,Chrome,Cr,Cr,1.9,1,1,80,0,300,140,1000,0xECEDEF,1,0xECEDEF,0.9,0,0,0xECEDEF,1,0.5,0.15,クロム,铬,鉻,크로뮴,0,0,0,0,0,2,1
Cs,Solid,0,1,Caesium,Cs,Cs,1.93,1,0.001,132.9,0,28.5,671,242.36,0xF1F1E4,1,0xF1F1E4,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,セシウム,铯,銫,세슘,0,0,0,0,0,2,1
CsBr,Solid,0,0,Caesium bromide,CsBr,CsBr,4.44,1,0.001,212.81,124.3,636,1300,900,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,臭化セシウム,溴化铯,溴化銫,브롬화 세슘,0,0,0,0,0,1,1
CsCl,Solid,0,0,Caesium chloride,CsCl,CsCl,3.99,1,0.001,168.36,162,645,1295,33,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化セシウム,氯化铯,氯化銫,염화 세슘,45,0,0,0,0,1,1
CsF,Solid,0,0,Caesium fluoride,CsF,CsF,4.115,1,0.001,151.9,367,682,1251,33,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,フッ化セシウム,氟化铯,氟化銫,플루오르화 세슘,45,0,0,0,0,1,1
CsOH,Solid,0,0,Caesium hydroxide,CsOH,CsOH,3.675,1,0.001,149.9,300,342.3,99999,466.27,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化セシウム,氢氧化铯,氫氧化銫,수산화 세슘,0,1,0,0,0,1,1
Cu,Solid,0,1,Copper,Cu,Cu,8.94,8.02,0.001,63.55,0,1084.62,2562,400.25,0x9A4A34,1,0xBA5C40,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,銅,铜,銅,구리,0,0,0,0,0,2,1
Cu2O,Solid,0,1,Copper(I) oxide,Cu2O,Cu2O,6.00,8.02,0.001,143.09,0,1232.00,1800,400.25,0x993333,1,0xBA5C40,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,銅,铜,銅,구리,0,0,0,0,0,2,1
Cu2S,Solid,0,1,Copper(I) sulfide,Cu2S,Cu2S,5.6,1,0.001,159.16,0,1100,99999,123,0x4B4B4B,1,0x4B4B4B,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫化銅（I）,硫化亚铜,硫化亞銅,황화 구리,22,0,0,0,0,1,1
CuCl2,Solid,0,1,Copper chloride,CuCl2,CuCl2,3.386,2.51,0.001,134.5,75.7,498,993,800.25,0x50B6CA,1,0x50B6CA,0.9,0xFFFFFF,0,0x82D348,0.3,0.5,0.15,塩化銅,氯化铜,氯化銅,염화 구리,0,0,4.5000000000E-09,0,0,1,1
CuCO3,Solid,0,1,Copper carbonate,CuCO3,CuCO3,3.9,1,0.001,123.55,0,200,300,900,0x70B0A8,1,0x70B0A8,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,炭酸銅,碳酸铜,碳酸銅,탄산 구리 ,0,0,0,0,0,1,1
CuNO32,Solid,0,1,Copper nitrate,CuNO32,Cu(NO3)2,2.32,1.32,0.001,187.56,137.8,256,170,440.49,0x0370C5,1,0x0370C5,0.9,0xFFFFFF,0,0x529F69,0.7,0.5,0.15,硝酸銅,硝酸铜,硝酸銅,질산 구리,0,0,4.5000000000E-09,0,0,1,1
CuO,Solid,0,1,Copper oxide,CuO,CuO,6.315,1,0.001,79.55,0,1326,2000,940,0x2C2D31,1,0x2C2D31,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化銅 ,氧化铜,氧化銅,산화 구리,0,0,0,0,0,2,1
CuOH2,Solid,0,1,Copper hydroxide,CuOH2,Cu(OH)2,3.368,1,0.001,97.56,0,81,99999,1107,0x1E90FF,1,0x1E90FF,0.9,0xFFFFFF,0,0x1E90FF,0.8,0.5,0.15,水酸化銅,氢氧化铜,氫氧化銅,수산화 구리,0,0,0,0,0,1,1
CuSO4,Solid,0,1,Copper sulfate,CuSO4,CuSO4,3.603,1,0.001,159.6,30,650,99999,683,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0x285FFF,0.7,0.5,0.15,硫酸銅,硫酸铜,硫酸銅,황산 구리,0,0,4.5000000000E-09,0,0,1,1
Fe,Solid,0,1,Iron,Fe,Fe,7.874,1,0.001,55.85,0,1538,2862,440.49,0x4A4745,1,0x918C88,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,鉄,铁,鐵,철,0,0,0,0,0,2,1
Fe2O3,Solid,0,1,Iron(III) oxide,Fe2O3,Fe2O3,5.242,1,0.001,159.7,0,1566,2862,440.49,0x370107,1,0x370107,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化鉄（III）,氧化铁,氧化鐵,산화 철,0,0,0,0,0,2,1
Fe2SO43,Solid,0,1,Iron(III) sulfate,Fe2SO43,Fe2(SO4)3,3.097,1.097,0.0698,399.9,100,480,9990,440.49,0xFFCC00,1,0xFFCC00,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸鉄（III）,硫酸铁,硫酸鐵,황산 철III,0,0,0,0,7.2000E-03,2,1
Fe3O4,Solid,0,1,Iron(II III) oxide,Fe3O4,Fe3O4,5.17,1,0.001,231.53,0,1597,99999,440.49,0x38373F,1,0x38373F,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,四酸化三鉄,四氧化三铁,四氧化三鐵,산화 철,0,0,0,0,0,2,1
FeCl2,Solid,0,1,Iron(II) chloride,FeCl2,FeCl2,3.16,1.097,0.0698,126.8,62.5,677,1023,440.49,0x86A863,1,0x86A863,0.9,0xFFFFFF,0,0x86A863,0.4,0.5,0.15,塩化鉄（II）,氯化亚铁,氯化亞鐵,염화 철II,0,0,0,0,2.1000000000000E-12,1,1
FeCl3,Solid,0,1,Iron(III) chloride,FeCl3,FeCl3,2.898,1.82,0.0698,162.2,74.4,306,315,440.49,0xEBE83B,1,0xEBE83B,0.9,0xFFFFFF,0,0xEBE83B,0.4,0.5,0.15,塩化鉄（III）,氯化铁,氯化鐵,염화 철III,0,0,0,0,3.60000E-04,1,1
FeNO32,Solid,0,1,Iron(II) nitrate,FeNO32,Fe(NO3)2,1.68,1,0.001,241.86,150,60.5,99999,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0x82AB72,0.5,0.5,0.15,硝酸鉄（II）,硝酸亚铁,硝酸亞鐵,질산 철II,0,0,0,0,0,1,1
FeNO33,Solid,0,1,Iron(III) nitrate,FeNO33,Fe(NO3)3,1.68,1,0.001,241.86,150,47.2,125,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0x82AB72,0.5,0.5,0.15,硝酸鉄（III）,硝酸铁,硝酸鐵,질산 철III,0,0,0,0,3.60000E-04,1,1
FeO,Solid,0,1,Iron(II) oxide,FeO,FeO,5.745,1,0.001,71.84,0,1377,3414,440.49,0x000000,1,0x000000,0.9,0xFFFFFF,0,0xCE643B,0.4,0.5,0.15,酸化鉄（II）,氧化亚铁,氧化亞鐵,산화 철 ,0,0,0,0,0,2,1
FeOH2,Solid,0,1,Iron(II) hydroxide,FeOH2,Fe(OH)2,3.4,1.698,0.0698,89.86,0,99998,99999,440.49,0x4B3520,1,0x4B3520,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化鉄（II）,氢氧化亚铁,氫氧化亞鐵,수산화 철II,0,2,0,0,0,1,1
FeOH3,Solid,0,1,Iron(III) hydroxide,FeOH3,Fe(OH)3,4.25,1.698,0.0698,88.85,0,99998,99999,440.49,0x8B4513,1,0x8B4513,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化鉄（III）,氢氧化铁,氫氧化鐵,수산화 철III,0,0,0,0,0,1,1
FeSO4,Solid,0,1,Iron(II) sulfate,FeSO4,FeSO4,1.898,1.698,0.0698,151.9,100,64,90,440.49,0x90D6C0,1,0x90D6C0,0.9,0xFFFFFF,0,0x90D6C0,0.3,0.5,0.15,硫酸鉄（II）,硫酸亚铁,硫酸亞鐵,황산 철II,0,0,0,0,2.1000000000000E-12,1,1
H3PO4,Solid,0,1,Phosphoric acid,H3PO4,H3PO4,2.03,1.885,0.001,98,5.48,42.35,158,440.49,0xFEFDF8,1,0xFEFDF8,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,リン酸,磷酸,磷酸,인산,0,0,0,0,6.9000E-03,1,1
HgNO32,Solid,0,1,Mercury nitrate,HgNO32,Hg(NO3)2,4.3,2.32,0.001,324.6,100,79,99999,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸水銀,硝酸汞,硝酸汞,질산 수은,0,0,3.1000E-03,0,0,1,1
HgO,Solid,0,1,Mercury oxide,HgO,HgO,11.4,1,0.001,216.6,0,99999,99999,139.5,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化水銀,氧化汞,氧化汞,산화 수은,0,0,0,0,0,2,1
I2,Solid,0,1,Iodine,I2,I2,4.933,4.033,0.013,253.8,0,113.7,184.3,429,0x9400D3,1,0x9400D3,0.9,0x9D4075,0,0xFFFFFF,0,0.5,0.15,ヨウ素,碘,碘,요오드,0,0,0,0,0,1,1
K,Solid,0,1,Potassium,K,K,0.862,0.828,0.08,39.1,0,63.38,759,757.03,0xFFFFFF,1,0xFFFFFF,0.9,0xE79ACF,0,0xFFFFFF,0,0.5,0.15,カリウム,钾,鉀,칼륨,0,0,0,0,0,2,1
K2MnO4,Solid,0,1,Potassium manganate,K2MnO4,K2MnO4,1.5,1,0.001,197.1,0,190,99999,2000,0x003333,1,0x003333,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,マンガン酸カリウム,锰酸钾,錳酸鉀,망간산 칼륨,0,0,0,0,0,1,1
K2O,Solid,0,1,Potassium oxide,K2O,K2O,2.35,1,0.001,94.2,0,350,99999,1,0xDDDDDD,1,0xDDDDDD,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化カリウム,氧化钾,氧化鉀,산화 칼륨,1,0,0,0,0,2,1
K2SO4,Solid,0,1,Potassium sulfate,K2SO4,K2SO4,2.664,1,0.001,174.3,120,1069,1089,389.57,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸カリウム,硫酸钾,硫酸鉀,황산 칼륨,0,0,0,0,0,1,1
KBr,Solid,0,0,Potassium bromide,KBr,KBr,1.984,1,0.001,119,67,734,1435,966.035,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,臭化カリウム,溴化钾,溴化鉀,염화칼륨,0,0,0,0,0,1,1
KCl,Solid,0,1,Potassium chloride,KCl,KCl,1.984,1,0.001,74.55,344,770,1420,966.035,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化カリウム,氯化钾,氯化鉀,염화칼륨,0,0,0,0,0,1,1
KClO3,Solid,0,1,Potassium chlorate,KClO3,KClO3,2.34,1.34,0.0698,122.6,0.88,356,400,440.49,0xAAAAAA,1,0xAAAAAA,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩素酸カリウム,氯酸钾,氯酸鉀,염소산 칼륨,0,0,0,0,0,1,1
KH,Solid,0,1,Potassium hydride,KH,KH,1.47,1,0.001,40.1062,0,99,316,623,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水素化カリウム,氢化钾,氫化鉀,수소화 칼륨,0,0,0,0,0,1,1
KI,Solid,0,1,Potassium iodide,KI,KI,3.123,1,0.001,166,140,681,1330,700,0xFFFFFFF,1,0xFFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ヨウ化カリウム,碘化钾,碘化鉀,요오드화 칼륨,0,0,0,0,0,1,1
KMnO4,Solid,0,1,Potassium permanganate,KMnO4,KMnO4,2.7,1,0.001,158,6.38,240,99999,3581.6,0x4A455A,1,0x4A455A,0.9,0xFFFFFF,0,0xF242F3,0.5,0.5,0.15,過マンガン酸カリウム,高锰酸钾,高錳酸鉀,과망간산 칼륨,0,0,0,0,0,1,1
KNO3,Solid,0,1,Potassium nitrate,KNO3,KNO3,2.11,2.32,0.001,101.1,316,334,400,440.49,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸カリウム,硝酸钾,硝酸鉀,질산 칼륨,0,0,0,0,0,1,1
KOH,Solid,0,1,Potassium hydroxide,KOH,KOH,2.044,1,0.001,56.11,121,360,1327,966.035,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化カリウム,氢氧化钾,氫氧化鉀,수산화 칼륨,0,1,0,0,0,1,1
Li,Solid,0,1,Lithium,Li,Li,0.534,1,0.001,6.941,0,180.54,1342,3581.6,0xEAF0EE,1,0xEAF0EE,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,リチウム,锂,鋰,리튬,0,0,0,0,0,2,1
Li2O,Solid,0,1,Lithium oxide,Li2O,Li2O,2.013,1,0.001,29.88,0,1438,9999,966.035,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化リチウム,氧化锂,氧化鋰,산화 리튬,0,0,0,0,0,2,1
Li3N,Solid,0,1,Lithium nitride,Li3N,Li3N,1.27,1,0.001,34.83,0,813,999999,1200,0xCC3173,1,0xCC3173,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,窒化リチウム,氮化锂,氮化鋰,질화 리튬,0,0,0,0,0,1,1
LiOH,Solid,0,1,Lithium hydroxide,LiOH,LiOH,1.46,1,0.001,23.95,12.8,462,924,86,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化リチウム,氢氧化锂,氫氧化鋰,수산화 리튬,0,1,0,0,0,1,1
Mg,Solid,0,1,Magnesium,Mg,Mg,1.738,0.927,0.001,24.31,0,650,1091,300,0x484A45,1,0x6A6D66,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,マグネシウム,镁,鎂,마그네슘,0,0,0,0,0,2,1
Mg3N2,Solid,0,1,Magnesium nitride,Mg3N2,Mg3N2,2.71,1,0.01,100.95,0,999,9999,400,0xDEEB7F,1,0xDEEB7F,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,窒化マグネシウム,氮化镁,氮化鎂,질화 마그네슘,0,0,0,0,0,1,1
MgCl2,Solid,0,1,Magnesium chloride,MgCl2,MgCl2,2.32,1,0.001,95.21,54.3,714,1412,600,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化マグネシウム,氯化镁,氯化鎂,염화 마그네슘,0,0,1.800000000000000000E-17,0,0,1,1
